,Year,Reporter,Import/Export,Partner,Description,Value_USD
85362,2000,Switzerland,Import,USA,Chemicals and pharmaceuticals,1438155142.097
61709,2000,Bangladesh,Export,USA,Textiles and clothing,2018934593.0
23453,2000,Iran,Export,Japan,"Minerals, stone, and their products",4925934727.0
61758,2000,Netherlands,Import,Singapore,"Machinery, appliances, and tools",2017388371.0
79396,2000,"Other Asia, nes",Import,Australia,"Minerals, stone, and their products",1552100794.0
61769,2000,Belgium,Import,United Kingdom,Chemicals and pharmaceuticals,2017148925.0
23346,2000,USA,Export,Ireland,"Machinery, appliances, and tools",4946454254.0
94055,2000,Germany,Export,Greece,"Machinery, appliances, and tools",1293186000.0
94084,2000,France,Export,Ireland,"Machinery, appliances, and tools",1292933566.0
85316,2000,United Kingdom,Export,Germany,plastics and rubber,1438881227.0
23163,2000,Germany,Export,USA,Chemicals and pharmaceuticals,4980042000.0
23139,2000,Japan,Import,Kuwait,"Minerals, stone, and their products",4983205469.0
79371,2000,Sweden,Export,China,"Machinery, appliances, and tools",1552760636.0
85299,2000,Belgium,Import,Italy,"Machinery, appliances, and tools",1439153645.0
61679,2000,Denmark,Export,Germany,"Machinery, appliances, and tools",2019906073.0
63816,2000,Qatar,Export,Rep. of Korea,"Minerals, stone, and their products",1952131072.0
23501,2000,USA,Export,Italy,"Machinery, appliances, and tools",4916766852.0
61650,2000,Hungary,Import,Russian Federation,"Minerals, stone, and their products",2020799000.0
85440,2000,USA,Import,Trinidad and Tobago,"Minerals, stone, and their products",1436876763.0
81400,2000,Singapore,Import,Kuwait,"Minerals, stone, and their products",1512037506.0
23845,2000,USA,Export,Japan,Animal products,4856184673.0
23844,2000,Australia,Import,Japan,Vehicles and their parts,4856537120.0
61416,2000,Switzerland,Import,Netherlands,"Machinery, appliances, and tools",2029403303.966
23807,2000,USA,Export,Mexico,Unspecified,4862426438.0
79424,2000,USA,Export,Belgium,plastics and rubber,1551300113.0
61430,2000,China,Import,Finland,"Machinery, appliances, and tools",2029116147.0
61443,2000,Rep. of Korea,Export,China,plastics and rubber,2028739561.0
61484,2000,Finland,Import,Germany,"Machinery, appliances, and tools",2027021426.0
61491,2000,Germany,Import,Russian Federation,Metals,2026771000.0
93968,2000,Japan,Export,France,Vehicles and their parts,1294402036.0
61566,2000,Japan,Import,Oman,"Minerals, stone, and their products",2023731864.0
93985,2000,South Africa,Import,Germany,"Machinery, appliances, and tools",1294170520.0
23526,2000,Japan,Import,Philippines,"Machinery, appliances, and tools",4911279792.0
85369,2000,Japan,Export,Singapore,Unspecified,1438048273.0
99434,2000,United Kingdom,Export,USA,Miscellaneous food products,1215732523.0
20914,2000,USA,Import,United Kingdom,Vehicles and their parts,5412764395.0
84904,2000,Japan,Import,Rep. of Korea,Animal products,1446720993.0
18903,2000,Germany,Export,France,Unspecified,5849652000.0
18900,2000,USA,Export,Canada,"Minerals, stone, and their products",5850361519.0
18891,2000,Japan,Import,Qatar,"Minerals, stone, and their products",5853006049.0
18890,2000,Norway,Export,Netherlands,"Minerals, stone, and their products",5853278562.582999
65445,2000,Indonesia,Import,Japan,"Machinery, appliances, and tools",1901052109.0
18839,2000,Japan,Import,USA,Animal products,5865100820.0
84553,2000,USA,Export,Dominican Rep.,Textiles and clothing,1453009648.0
65477,2000,Japan,Import,South Africa,Metals,1900210558.0
84521,2000,Sweden,Export,Finland,"Machinery, appliances, and tools",1453675463.0
65577,2000,Malaysia,Export,Thailand,"Machinery, appliances, and tools",1897251490.0
65584,2000,Malaysia,Import,Japan,Metals,1897030196.0
95237,2000,USA,Import,Singapore,Unspecified,1275749891.0
65613,2000,USA,Export,China,Vehicles and their parts,1896314949.0
65674,2000,Italy,Export,Germany,Chemicals and pharmaceuticals,1893988111.6720002
18808,2000,USA,Export,United Kingdom,Vehicles and their parts,5872802883.0
65410,2000,USA,Export,Japan,Metals,1902044643.0
84562,2000,China,Import,"Other Asia, nes",Chemicals and pharmaceuticals,1452728769.0
18962,2000,USA,Import,United Kingdom,Chemicals and pharmaceuticals,5835625352.0
19415,2000,Israel,Export,USA,Metals,5729185000.0
65128,2000,Italy,Import,USA,Chemicals and pharmaceuticals,1910869046.382
65137,2000,France,Import,China,Textiles and clothing,1910572251.0
65140,2000,Netherlands,Export,Belgium,Chemicals and pharmaceuticals,1910456040.0
19315,2000,Germany,Export,Spain,Vehicles and their parts,5754700000.0
65143,2000,Botswana,Export,United Kingdom,Metals,1910336366.0
95117,2000,Italy,Export,Japan,Textiles and clothing,1277452763.772
65187,2000,United Kingdom,Import,China,Arts and games products,1908981346.0
19194,2000,Canada,Export,USA,Furniture and decor,5780042444.0
65254,2000,Sweden,Export,Norway,"Machinery, appliances, and tools",1906980711.0
19138,2000,USA,Import,Israel,Metals,5793947157.0
84587,2000,Netherlands,Import,Russian Federation,"Minerals, stone, and their products",1452346460.0
84580,2000,Japan,Import,Rep. of Korea,Textiles and clothing,1452473710.0
65370,2000,Japan,Export,"China, Hong Kong SAR",Textiles and clothing,1903041255.0
65386,2000,Italy,Import,Japan,Vehicles and their parts,1902669256.53
84493,2000,USA,Import,Aruba,"Minerals, stone, and their products",1454042183.0
19417,2000,Germany,Import,USA,Vehicles and their parts,5728835000.0
18626,2000,France,Import,Norway,"Minerals, stone, and their products",5913764859.0
65728,2000,France,Export,Italy,plastics and rubber,1892247085.0
66118,2000,Russian Federation,Export,Netherlands,Metals,1880804204.0
18087,2000,Hungary,Export,Germany,"Machinery, appliances, and tools",6056470000.0
18052,2000,USA,Import,Iraq,"Minerals, stone, and their products",6065501001.0
95395,2000,Spain,Export,Italy,Animal products,1273478660.9680002
84375,2000,Finland,Export,United Kingdom,"Machinery, appliances, and tools",1456099728.0
66232,2000,Spain,Import,Germany,Chemicals and pharmaceuticals,1877424096.043
18127,2000,USA,Import,Mexico,Unspecified,6043814093.0
66236,2000,Belgium,Export,France,Animal products,1877386529.0
66277,2000,Malaysia,Export,Germany,"Machinery, appliances, and tools",1876134999.0
66323,2000,USA,Export,"Other Asia, nes",Chemicals and pharmaceuticals,1874732052.0
84339,2000,USA,Export,Belgium,Metals,1456688723.0
66356,2000,Switzerland,Export,France,Chemicals and pharmaceuticals,1873414346.418
17765,2000,"China, Hong Kong SAR",Export,USA,Arts and games products,6149611932.0
17733,2000,"China, Hong Kong SAR",Import,China,Animal products,6158614109.0
95426,2000,United Kingdom,Export,Norway,"Machinery, appliances, and tools",1273036946.0
2305,2000,Mexico,Export,USA,Vehicles and their parts,25798759278.0
18143,2000,"Other Asia, nes",Import,Rep. of Korea,"Machinery, appliances, and tools",6039326877.0
95356,2000,Germany,Export,Australia,"Machinery, appliances, and tools",1273916000.0
18504,2000,USA,Export,Japan,Vehicles and their parts,5948329203.0
79068,2000,Rep. of Korea,Export,Japan,Textiles and clothing,1558912265.0
95281,2000,USA,Import,United Kingdom,Miscellaneous food products,1275123876.0
18486,2000,Netherlands,Export,France,"Machinery, appliances, and tools",5952679839.0
65791,2000,Japan,Export,China,plastics and rubber,1890491122.0
84463,2000,Denmark,Export,Germany,Animal products,1454655639.0
18441,2000,France,Export,United Kingdom,Vehicles and their parts,5962806607.0
18418,2000,France,Export,Italy,"Machinery, appliances, and tools",5966876009.0
18401,2000,Canada,Import,Japan,"Machinery, appliances, and tools",5972662734.0
65884,2000,USA,Export,Brazil,Chemicals and pharmaceuticals,1887436624.0
65911,2000,China,Export,"Other Asia, nes","Machinery, appliances, and tools",1886608769.0
65921,2000,Ireland,Export,Japan,"Machinery, appliances, and tools",1886316725.1209998
65937,2000,Australia,Export,Special Categories,Unspecified,1885669310.0
65964,2000,USA,Import,China,Unspecified,1884900983.0
84415,2000,Mexico,Import,China,"Machinery, appliances, and tools",1455427105.0
18580,2000,Japan,Export,USA,Unspecified,5927627114.0
19431,2000,Ireland,Import,USA,"Machinery, appliances, and tools",5726832921.207
19473,2000,France,Export,USA,Vehicles and their parts,5716715724.0
84643,2000,Japan,Export,"China, Hong Kong SAR",Vehicles and their parts,1451355694.0
64200,2000,Italy,Export,Netherlands,"Machinery, appliances, and tools",1939893053.808
64229,2000,United Kingdom,Import,Finland,Paper and wood,1939039155.0
20418,2000,Mexico,Import,USA,"Minerals, stone, and their products",5516895693.0
64284,2000,France,Import,Belgium,Vehicles and their parts,1937328755.0
64286,2000,Netherlands,Import,Belgium,Vehicles and their parts,1937265115.0
20332,2000,United Kingdom,Import,Japan,Vehicles and their parts,5534001018.0
64192,2000,France,Export,Germany,"Minerals, stone, and their products",1940027480.0
64376,2000,Japan,Import,Australia,Animal products,1934810493.0
64389,2000,Mexico,Import,USA,Unspecified,1934435480.0
20264,2000,USA,Import,Germany,Chemicals and pharmaceuticals,5549181555.0
79189,2000,Switzerland,Export,Italy,Chemicals and pharmaceuticals,1556506429.544
64412,2000,Spain,Import,Netherlands,"Machinery, appliances, and tools",1933773941.055
20228,2000,Italy,Export,Germany,Textiles and clothing,5556888728.181
94870,2000,Netherlands,Export,France,Animal products,1281351261.0
20293,2000,United Kingdom,Export,Netherlands,"Minerals, stone, and their products",5542238588.0
64176,2000,USA,Export,Switzerland,"Machinery, appliances, and tools",1940635667.0
64162,2000,United Kingdom,Export,Belgium,Chemicals and pharmaceuticals,1941004039.0
94787,2000,France,Import,Italy,Chemicals and pharmaceuticals,1282728253.0
20840,2000,Canada,Export,USA,Chemicals and pharmaceuticals,5432273907.0
94716,2000,Germany,Export,United Kingdom,Textiles and clothing,1283737000.0
20761,2000,Spain,Import,France,"Machinery, appliances, and tools",5449906831.188
20716,2000,USA,Export,Australia,"Machinery, appliances, and tools",5458193926.0
2079,2000,"China, Hong Kong SAR",Import,China,Textiles and clothing,27353946507.0
20701,2000,USA,Import,Rep. of Korea,Vehicles and their parts,5461333094.0
64010,2000,Japan,Export,Italy,Vehicles and their parts,1946253505.0
20671,2000,Canada,Import,USA,"Minerals, stone, and their products",5468877300.0
94746,2000,Australia,Import,Singapore,"Machinery, appliances, and tools",1283239953.0
64037,2000,Russian Federation,Export,United Kingdom,Metals,1945347092.0
99351,2000,Italy,Import,Ireland,Chemicals and pharmaceuticals,1216684744.491
64077,2000,Germany,Export,Belgium,plastics and rubber,1944174000.0
84842,2000,Germany,Export,Switzerland,Paper and wood,1447687000.0
64123,2000,United Kingdom,Import,Italy,Textiles and clothing,1942428820.0
94785,2000,Germany,Import,Poland,Furniture and decor,1282748000.0
64459,2000,USA,Export,Rep. of Korea,Chemicals and pharmaceuticals,1931940534.0
20174,2000,Germany,Import,Hungary,"Machinery, appliances, and tools",5569052000.0
20168,2000,United Kingdom,Export,USA,Chemicals and pharmaceuticals,5570792684.0
20160,2000,Russian Federation,Export,Belarus,Unspecified,5572101000.0
64790,2000,Italy,Export,France,plastics and rubber,1921409156.375
19751,2000,USA,Import,China,Animal products,5661785095.0
79152,2000,Spain,Export,France,Plant products,1557197436.533
2174,2000,USA,Import,Mexico,Vehicles and their parts,26630009541.0
64838,2000,Thailand,Import,Malaysia,"Machinery, appliances, and tools",1919991680.0
64883,2000,Canada,Export,USA,Plant products,1918878097.0
19666,2000,Netherlands,Import,Special Categories,"Machinery, appliances, and tools",5678011983.0
84674,2000,China,Export,"China, Hong Kong SAR",Arts and games products,1450906740.0
95019,2000,Italy,Export,Germany,Paper and wood,1279091870.9589999
64933,2000,USA,Export,Italy,Chemicals and pharmaceuticals,1917296829.0
19595,2000,Ireland,Import,United Kingdom,"Machinery, appliances, and tools",5691764990.828
64944,2000,Italy,Export,USA,Chemicals and pharmaceuticals,1917021732.4
95038,2000,China,Import,Philippines,"Machinery, appliances, and tools",1278690127.0
