,Year,Reporter,Import/Export,Partner,Description,Value_USD
20378,2011,United Arab Emirates,Import,China,"Machinery, appliances, and tools",5523427688.0
34309,2011,United Kingdom,Import,Nigeria,"Minerals, stone, and their products",3536388852.0
21681,2011,France,Import,Switzerland,"Machinery, appliances, and tools",5260607019.0
25411,2011,Israel,Export,USA,Chemicals and pharmaceuticals,4603048000.0
27449,2011,United Arab Emirates,Export,Iran,Metals,4310618982.0
58232,2011,Italy,Export,Romania,"Machinery, appliances, and tools",2140767473.0
58388,2011,Italy,Import,China,Furniture and decor,2135128308.0
1306,2011,Japan,Import,China,Textiles and clothing,36480251397.0
31388,2011,Viet Nam,Import,China,Textiles and clothing,3829495029.0
79529,2011,Indonesia,Import,China,"Minerals, stone, and their products",1549098817.0
60362,2011,Poland,Export,United Kingdom,Vehicles and their parts,2065958676.0
20277,2011,China,Import,Chile,"Minerals, stone, and their products",5546684881.0
67362,2011,Germany,Import,Türkiye,Vehicles and their parts,1845476545.897
16552,2011,Germany,Import,France,Chemicals and pharmaceuticals,6488223325.646
63227,2011,Finland,Export,China,"Machinery, appliances, and tools",1970234068.0
60123,2011,Germany,Import,Viet Nam,Textiles and clothing,2073855544.263
56109,2011,Germany,Import,Philippines,"Machinery, appliances, and tools",2222164943.828
16810,2011,Germany,Import,"Other Asia, nes","Machinery, appliances, and tools",6408051444.768999
64401,2011,Spain,Import,Netherlands,"Minerals, stone, and their products",1934085501.46
27743,2011,Thailand,Import,China,Metals,4270996317.0
58384,2011,Botswana,Import,South Africa,"Minerals, stone, and their products",2135254595.811
1292,2011,Canada,Export,USA,"Machinery, appliances, and tools",36786243977.0
60449,2011,Italy,Import,Angola,"Minerals, stone, and their products",2063184873.0
27748,2011,Malaysia,Import,Germany,"Machinery, appliances, and tools",4270674871.0
80202,2011,Spain,Import,Brazil,"Minerals, stone, and their products",1536350219.157
58380,2011,France,Import,Belgium,Paper and wood,2135346017.0
52865,2011,France,Import,Netherlands,plastics and rubber,2357225894.0
16531,2011,Spain,Export,France,"Machinery, appliances, and tools",6494226270.725
52861,2011,"China, Hong Kong SAR",Import,Japan,plastics and rubber,2357314241.0
58113,2011,Germany,Import,Slovenia,"Machinery, appliances, and tools",2145304536.111
53022,2011,Malaysia,Import,Japan,Vehicles and their parts,2349433254.0
16482,2011,United Kingdom,Import,Germany,Chemicals and pharmaceuticals,6507359790.0
16481,2011,USA,Export,Japan,Vehicles and their parts,6507696914.0
53104,2011,Belgium,Import,United Kingdom,Chemicals and pharmaceuticals,2346284693.829
86100,2011,Switzerland,Import,Netherlands,"Minerals, stone, and their products",1425030601.0
95805,2011,China,Import,Australia,Chemicals and pharmaceuticals,1267239076.0
60313,2011,Malaysia,Export,France,"Machinery, appliances, and tools",2067376131.0
79716,2011,Croatia,Import,Russian Federation,"Minerals, stone, and their products",1545551785.0
21690,2011,"China, Hong Kong SAR",Import,Japan,Metals,5258670395.0
21588,2012,USA,Export,Canada,Textiles and clothing,5278667599.0
63702,2012,France,Import,Slovakia,Vehicles and their parts,1955843391.0
40390,2012,"Other Asia, nes",Import,Rep. of Korea,"Minerals, stone, and their products",3039781323.0
73540,2012,Türkiye,Import,Germany,Chemicals and pharmaceuticals,1682456307.0
62322,2012,Ireland,Export,France,Chemicals and pharmaceuticals,2000276882.146
30725,2012,Netherlands,Export,Poland,"Machinery, appliances, and tools",3900444592.3869996
2024,2012,Germany,Export,China,Vehicles and their parts,27803822318.282
9116,2012,Thailand,Export,USA,"Machinery, appliances, and tools",10297528092.0
41192,2012,United Kingdom,Export,Belgium,Vehicles and their parts,2985596098.0
39986,2012,Sweden,Export,Germany,Paper and wood,3066416014.662
40002,2012,Germany,Import,USA,Metals,3064988339.639
8340,2012,Netherlands,Export,Germany,Chemicals and pharmaceuticals,11021205728.988998
62316,2012,Brunei Darussalam,Export,Rep. of Korea,"Minerals, stone, and their products",2000427456.0
21857,2012,"Other Asia, nes",Import,Indonesia,"Minerals, stone, and their products",5226307168.0
84941,2012,Italy,Export,Netherlands,Chemicals and pharmaceuticals,1445965907.0
30710,2012,USA,Import,Austria,"Machinery, appliances, and tools",3901918220.0
30734,2012,Brazil,Export,India,"Minerals, stone, and their products",3899488975.0
30097,2012,China,Import,India,Metals,3972746754.0
73560,2012,France,Import,Türkiye,Textiles and clothing,1681992534.0
30707,2012,China,Export,South Africa,Textiles and clothing,3902605310.0
8326,2012,Germany,Export,Russian Federation,Vehicles and their parts,11032110431.265001
85083,2012,France,Export,India,"Machinery, appliances, and tools",1443061590.0
29561,2012,Germany,Export,Austria,plastics and rubber,4034552798.9240003
29549,2012,Germany,Export,United Kingdom,"Minerals, stone, and their products",4035696983.5039997
73969,2012,Rep. of Korea,Export,Australia,"Machinery, appliances, and tools",1672707900.0
94416,2012,United Kingdom,Import,Canada,"Machinery, appliances, and tools",1288247369.0
47712,2012,Italy,Import,France,Miscellaneous food products,2605069431.0
39987,2012,Belarus,Export,Latvia,"Minerals, stone, and their products",3066361700.0
74743,2012,Hungary,Import,Germany,plastics and rubber,1655744334.0
79855,2012,China,Export,"Other Asia, nes",Animal products,1543125268.0
74180,2012,Spain,Import,France,"Minerals, stone, and their products",1667979526.4620001
74164,2012,Denmark,Export,Norway,"Machinery, appliances, and tools",1668392725.0
62346,2012,India,Import,Rep. of Korea,Vehicles and their parts,1999296487.0
90017,2012,Germany,Export,Spain,"Minerals, stone, and their products",1356876921.1929998
29486,2012,"China, Hong Kong SAR",Import,Germany,"Machinery, appliances, and tools",4042399791.0
82653,2012,Germany,Export,Luxembourg,Metals,1488157028.9689999
21582,2012,China,Export,Spain,"Machinery, appliances, and tools",5279461297.0
85079,2012,United Kingdom,Export,Canada,Metals,1443146389.0
85080,2012,China,Export,Togo,Textiles and clothing,1443125149.0
22696,2012,France,Import,Spain,"Minerals, stone, and their products",5070457364.0
22701,2012,Romania,Import,Germany,"Machinery, appliances, and tools",5068842483.0
81307,2012,Lebanon,Import,USA,"Minerals, stone, and their products",1513990574.0
97828,2012,United Kingdom,Import,Brazil,Metals,1237593641.0
73947,2012,China,Export,Canada,plastics and rubber,1673237447.0
21937,2012,Italy,Export,USA,Vehicles and their parts,5211532953.0
39969,2012,Thailand,Export,Singapore,"Machinery, appliances, and tools",3067918072.0
7552,2012,"China, Hong Kong SAR",Export,China,plastics and rubber,11864622402.0
30313,2012,USA,Import,Trinidad and Tobago,"Minerals, stone, and their products",3947184948.0
92606,2012,Hungary,Import,Rep. of Korea,"Machinery, appliances, and tools",1316204534.0
8338,2012,Canada,Import,USA,Chemicals and pharmaceuticals,11022492391.0
9092,2012,USA,Export,Canada,Paper and wood,10328270458.0
41199,2012,China,Export,Singapore,"Minerals, stone, and their products",2985282527.0
8334,2012,Malaysia,Import,Singapore,"Minerals, stone, and their products",11026095041.0
47699,2012,Spain,Export,United Kingdom,"Machinery, appliances, and tools",2605708207.66
21876,2012,China,Import,Costa Rica,"Machinery, appliances, and tools",5221830944.0
22667,2012,Germany,Export,China,Metals,5079067611.245
29496,2012,Türkiye,Import,Russian Federation,Metals,4041283620.0
88685,2012,Germany,Import,Poland,Textiles and clothing,1379138810.759
74751,2012,India,Export,Bangladesh,Textiles and clothing,1655438687.0
40005,2012,Norway,Import,Germany,"Machinery, appliances, and tools",3064719848.0
90014,2012,USA,Export,Colombia,Chemicals and pharmaceuticals,1356921520.0
41156,2012,France,Import,Italy,Animal products,2988434482.0
74776,2012,USA,Import,Malaysia,plastics and rubber,1654984551.0
8615,2012,Algeria,Export,USA,"Minerals, stone, and their products",10769645642.0
9107,2012,France,Import,Germany,Metals,10304538867.0
47186,2012,Australia,Import,China,Furniture and decor,2632064019.0
8587,2012,United Kingdom,Export,Germany,"Minerals, stone, and their products",10805919427.0
3051,2012,Switzerland,Export,United Kingdom,Metals,21838627997.716
74161,2012,Italy,Import,Czechia,"Machinery, appliances, and tools",1668435557.0
74773,2012,Spain,Import,Belgium,Chemicals and pharmaceuticals,1655019459.425
22675,2012,Algeria,Export,Canada,"Minerals, stone, and their products",5076672675.0
30309,2012,USA,Import,South Africa,Metals,3947773784.0
97817,2012,Thailand,Import,Azerbaijan,"Minerals, stone, and their products",1237765805.0
39984,2012,Mexico,Export,Canada,Vehicles and their parts,3066545877.0
97816,2012,India,Export,Oman,"Minerals, stone, and their products",1237781233.0
94224,2012,Italy,Import,South Africa,Metals,1290833679.0
7565,2012,USA,Export,"China, Hong Kong SAR","Machinery, appliances, and tools",11844319434.0
62970,2012,Malaysia,Export,Rep. of Korea,"Machinery, appliances, and tools",1979183351.0
9086,2012,USA,Export,Japan,Vehicles and their parts,10335672709.0
47684,2012,Netherlands,Export,France,plastics and rubber,2606890337.209
30712,2012,Spain,Import,Iraq,"Minerals, stone, and their products",3901436729.6629996
56652,2012,Thailand,Import,Oman,"Minerals, stone, and their products",2201402600.0
47837,2012,Italy,Export,Belgium,"Machinery, appliances, and tools",2599184323.0
56208,2012,China,Export,Brazil,Chemicals and pharmaceuticals,2218567467.0
82362,2012,Netherlands,Export,United Arab Emirates,"Machinery, appliances, and tools",1493157174.463
79848,2012,Malta,Import,Italy,"Minerals, stone, and their products",1543294129.0
74744,2012,USA,Import,China,Miscellaneous food products,1655703037.0
47827,2012,Japan,Export,Singapore,Unspecified,2599519817.0
47206,2012,Australia,Export,Japan,Animal products,2631060787.0
73962,2012,Russian Federation,Export,"Other Asia, nes","Minerals, stone, and their products",1672812267.0
29532,2012,United Kingdom,Export,Singapore,"Machinery, appliances, and tools",4037690849.0
80664,2012,"China, Hong Kong SAR",Export,Indonesia,"Machinery, appliances, and tools",1526406889.0
29540,2012,Belgium,Import,France,Chemicals and pharmaceuticals,4036734735.1809998
21925,2012,Singapore,Import,Indonesia,"Machinery, appliances, and tools",5213461090.749
22663,2012,Germany,Export,France,"Minerals, stone, and their products",5079778480.852
7568,2012,Rep. of Korea,Import,Indonesia,"Minerals, stone, and their products",11842768492.0
55767,2012,Morocco,Import,Spain,"Minerals, stone, and their products",2235424538.0
21621,2012,Kazakhstan,Export,France,"Minerals, stone, and their products",5271817900.0
41195,2012,"China, Hong Kong SAR",Export,Malaysia,"Machinery, appliances, and tools",2985452827.0
56674,2012,United Arab Emirates,Import,Rep. of Korea,Metals,2200409326.0
82561,2012,Japan,Import,"Other Asia, nes","Minerals, stone, and their products",1489522006.0
8588,2012,Switzerland,Import,France,Metals,10805132679.664999
56663,2012,China,Import,Rep. of Korea,Unspecified,2200878291.0
73570,2012,France,Export,Thailand,Vehicles and their parts,1681826382.0
56673,2012,Netherlands,Export,Belgium,Plant products,2200513483.295
98000,2012,Italy,Import,Hungary,"Machinery, appliances, and tools",1235124357.0
21054,2012,Switzerland,Import,Peru,Metals,5384070830.384
7559,2012,USA,Export,United Kingdom,Metals,11850827941.0
86483,2012,Algeria,Import,Argentina,Miscellaneous food products,1417669576.0
74775,2012,Hungary,Import,Netherlands,"Machinery, appliances, and tools",1655005191.0
48169,2012,Rep. of Korea,Export,Malta,Vehicles and their parts,2582537749.0
56074,2012,China,Export,Germany,"Minerals, stone, and their products",2223830629.0
82532,2012,Saudi Arabia,Import,Thailand,Vehicles and their parts,1490062663.0
85258,2012,"Other Asia, nes",Import,India,"Minerals, stone, and their products",1439701787.0
30208,2012,Japan,Export,"Other Asia, nes","Minerals, stone, and their products",3960216710.0
56112,2012,Türkiye,Import,France,"Machinery, appliances, and tools",2221944577.0
92634,2012,China,Export,Venezuela,Vehicles and their parts,1315753743.0
82340,2012,Chile,Export,Japan,Animal products,1493725494.2619998
82680,2012,Singapore,Import,United Arab Emirates,Metals,1487712582.27
30262,2012,Netherlands,Export,Belgium,plastics and rubber,3953758625.5150003
1256,2012,Canada,Export,USA,"Machinery, appliances, and tools",37648336261.0
55667,2012,Rep. of Korea,Import,Canada,"Minerals, stone, and their products",2239259572.0
47076,2012,China,Export,Mexico,Metals,2637016379.0
78475,2012,France,Export,United Arab Emirates,"Machinery, appliances, and tools",1571529181.0
73452,2012,Singapore,Export,Switzerland,Metals,1684588720.743
99905,2012,Germany,Export,Greece,Chemicals and pharmaceuticals,1209418254.526
39867,2012,United Arab Emirates,Import,Italy,"Machinery, appliances, and tools",3074699817.0
8441,2012,USA,Import,Brazil,"Minerals, stone, and their products",10934910154.0
21745,2012,Algeria,Export,Netherlands,"Minerals, stone, and their products",5247958559.0
74090,2012,Ireland,Import,USA,Chemicals and pharmaceuticals,1670189916.6820002
7413,2012,USA,Export,Canada,Chemicals and pharmaceuticals,12036821197.0
3033,2012,France,Export,Germany,"Machinery, appliances, and tools",21893026642.0
30211,2012,Italy,Import,France,"Minerals, stone, and their products",3959999362.0
7412,2012,USA,Export,Australia,"Machinery, appliances, and tools",12038354489.0
456,2012,USA,Import,Canada,Vehicles and their parts,64329681669.0
82342,2012,United Arab Emirates,Import,France,"Machinery, appliances, and tools",1493618396.0
63105,2012,Greece,Import,Iran,"Minerals, stone, and their products",1974213631.0
29403,2012,United Arab Emirates,Export,Iraq,"Machinery, appliances, and tools",4053445786.0
39876,2012,China,Export,Belgium,Textiles and clothing,3074131696.0
9235,2012,China,Import,Japan,Chemicals and pharmaceuticals,10193698118.0
40451,2012,Rep. of Korea,Export,Russian Federation,"Machinery, appliances, and tools",3035838336.0
73464,2012,Japan,Import,Australia,Miscellaneous food products,1684408125.0
47092,2012,USA,Export,Canada,Arts and games products,2636163009.0
30817,2012,United Arab Emirates,Export,"North America and Central America, nes","Minerals, stone, and their products",3889393216.0
94493,2012,Norway,Export,Czechia,"Minerals, stone, and their products",1287144745.0
8425,2012,Russian Federation,Export,Rep. of Korea,"Minerals, stone, and their products",10951312285.0
47088,2012,Denmark,Export,USA,"Machinery, appliances, and tools",2636287937.0
39883,2012,Singapore,Import,Japan,Metals,3073899505.4839997
29413,2012,Singapore,Import,Russian Federation,"Minerals, stone, and their products",4052206873.0189996
29412,2012,China,Export,Thailand,Metals,4052316431.0
9240,2012,Viet Nam,Export,USA,Textiles and clothing,10188489949.0
1924,2012,USA,Export,Mexico,"Minerals, stone, and their products",28711958270.0
94465,2012,Austria,Export,Russian Federation,"Machinery, appliances, and tools",1287538880.0
7443,2012,France,Import,Italy,"Machinery, appliances, and tools",12004294645.0
86463,2012,China,Export,Chile,Metals,1418080396.0
20947,2012,"China, Hong Kong SAR",Import,South Africa,Metals,5406017307.0
41303,2012,Germany,Import,Rep. of Korea,Vehicles and their parts,2978742078.488
9244,2012,"Other Asia, nes",Import,USA,"Machinery, appliances, and tools",10186887965.0
97800,2012,Qatar,Import,USA,Vehicles and their parts,1238065764.107
63807,2012,United Kingdom,Import,France,Animal products,1952522617.0
74099,2012,Sweden,Import,Germany,plastics and rubber,1669972133.7139997
21749,2012,France,Export,Spain,Vehicles and their parts,5247489810.0
30822,2012,Zambia,Export,Switzerland,Metals,3888890637.2200003
47062,2012,USA,Export,Brazil,plastics and rubber,2637659530.0
9264,2012,Chile,Export,China,Metals,10168277932.016
40511,2012,India,Import,China,Animal products,3031116280.0
79920,2012,Australia,Export,Malaysia,Metals,1541665391.0
2011,2012,China,Import,Brazil,"Minerals, stone, and their products",27967772706.0
30840,2012,India,Import,Brazil,"Minerals, stone, and their products",3886433473.0
47776,2012,Japan,Export,Brazil,"Machinery, appliances, and tools",2602179869.0
74060,2012,Sweden,Export,Norway,Metals,1670904336.78
56788,2012,Russian Federation,Export,Malta,"Minerals, stone, and their products",2196811944.0
73432,2012,Finland,Import,Norway,"Minerals, stone, and their products",1685110628.0
63122,2012,Nigeria,Export,Ireland,"Minerals, stone, and their products",1973645516.0
20925,2012,India,Import,South Africa,Metals,5410337990.0
89981,2012,Brazil,Import,China,Vehicles and their parts,1357423016.0
8464,2012,Japan,Import,Rep. of Korea,"Minerals, stone, and their products",10914437293.0
8466,2012,China,Export,United Arab Emirates,"Machinery, appliances, and tools",10912573952.0
90183,2012,Italy,Import,Poland,Metals,1354359729.0
74069,2012,France,Import,Netherlands,Metals,1670777611.0
41358,2012,Sweden,Export,Finland,"Machinery, appliances, and tools",2974211963.034
74067,2012,Brazil,Import,Argentina,"Minerals, stone, and their products",1670788592.0
47033,2012,Italy,Import,Iran,"Minerals, stone, and their products",2639443258.0
9293,2012,Japan,Export,Netherlands,"Machinery, appliances, and tools",10145162173.0
20915,2012,Viet Nam,Import,Japan,"Machinery, appliances, and tools",5412725203.0
47786,2012,USA,Export,Belgium,"Minerals, stone, and their products",2601820883.0
74928,2012,Norway,Import,China,Textiles and clothing,1651296991.0
55647,2012,France,Import,Tunisia,"Machinery, appliances, and tools",2240199425.0
79232,2012,Rep. of Korea,Export,Türkiye,"Machinery, appliances, and tools",1555604395.0
21728,2012,Netherlands,Import,France,"Machinery, appliances, and tools",5252314279.346
63814,2012,China,Import,Japan,Paper and wood,1952239952.0
63117,2012,Indonesia,Import,Malaysia,"Machinery, appliances, and tools",1973787123.0
97599,2012,Austria,Export,Poland,"Machinery, appliances, and tools",1240979509.0
86708,2012,China,Import,China,"Minerals, stone, and their products",1413792037.0
7406,2012,Czechia,Import,China,"Machinery, appliances, and tools",12046260987.0
30215,2012,Ukraine,Import,Belarus,"Minerals, stone, and their products",3959316920.0
99386,2012,France,Import,USA,plastics and rubber,1216287849.0
8498,2012,"China, Hong Kong SAR",Export,Japan,"Machinery, appliances, and tools",10880532567.0
41337,2012,United Kingdom,Import,France,Chemicals and pharmaceuticals,2975923523.0
48217,2012,Germany,Export,Spain,plastics and rubber,2580398972.333
7400,2012,United Kingdom,Import,USA,Metals,12051393337.0
89986,2012,Slovakia,Export,Russian Federation,Vehicles and their parts,1357334370.63
85055,2012,Switzerland,Import,United Kingdom,Vehicles and their parts,1443558159.765
98043,2012,Trinidad and Tobago,Import,Gabon,"Minerals, stone, and their products",1234416719.529
455,2012,Canada,Export,USA,Vehicles and their parts,64607675654.0
82682,2012,Indonesia,Import,"Other Asia, nes","Machinery, appliances, and tools",1487697662.0
88565,2012,Canada,Export,Japan,Animal products,1381128294.0
55659,2012,USA,Import,"China, Hong Kong SAR",Unspecified,2239506172.0
56777,2012,Türkiye,Import,France,Vehicles and their parts,2197159340.0
7374,2012,Germany,Import,USA,Chemicals and pharmaceuticals,12087335394.810001
56130,2012,USA,Import,France,Metals,2221291983.0
74922,2012,Australia,Export,Bunkers,"Minerals, stone, and their products",1651430831.0
92443,2012,France,Export,Sweden,Chemicals and pharmaceuticals,1319013447.0
63812,2012,USA,Export,Netherlands,Vehicles and their parts,1952251691.0
74054,2012,Viet Nam,Export,United Arab Emirates,"Machinery, appliances, and tools",1671071043.0
39853,2012,Belgium,Import,France,"Minerals, stone, and their products",3075451738.732
40474,2012,Rep. of Korea,Export,Germany,"Machinery, appliances, and tools",3034601597.0
39857,2012,Belgium,Export,France,Animal products,3075282576.988
7550,2012,Japan,Export,Rep. of Korea,Metals,11866498797.0
22799,2012,"China, Hong Kong SAR",Import,Singapore,"Minerals, stone, and their products",5046433775.0
48197,2012,Germany,Import,Viet Nam,"Machinery, appliances, and tools",2581357535.763
7524,2012,Rep. of Korea,Export,Japan,"Machinery, appliances, and tools",11905056961.0
78436,2012,Spain,Export,Switzerland,Chemicals and pharmaceuticals,1572389523.485
82357,2012,"Other Asia, nes",Import,Thailand,"Machinery, appliances, and tools",1493260704.0
56084,2012,Thailand,Export,USA,Metals,2223331593.0
41239,2012,France,Export,United Kingdom,"Minerals, stone, and their products",2982959256.0
39948,2012,Colombia,Export,USA,Metals,3069335674.0
88700,2012,Russian Federation,Import,"Other Asia, nes","Machinery, appliances, and tools",1378932355.0
63751,2012,Indonesia,Export,Japan,plastics and rubber,1954053233.0
98017,2012,Egypt,Export,Bunkers,"Minerals, stone, and their products",1234892096.0
74006,2012,Ireland,Export,Spain,Chemicals and pharmaceuticals,1672007855.361
7516,2012,United Kingdom,Export,Germany,"Machinery, appliances, and tools",11917857139.0
41245,2012,Thailand,Import,Germany,"Machinery, appliances, and tools",2982682927.0
9158,2012,Italy,Export,Germany,Metals,10257037362.0
88554,2012,Argentina,Export,Indonesia,Miscellaneous food products,1381292793.0
30768,2012,China,Export,Bangladesh,Textiles and clothing,3894122696.0
7513,2012,Rep. of Korea,Export,China,"Minerals, stone, and their products",11920593226.0
8390,2012,Italy,Import,Germany,Vehicles and their parts,10975526045.0
47136,2012,Malaysia,Export,"Other Asia, nes","Machinery, appliances, and tools",2634143525.0
22760,2012,Japan,Export,Viet Nam,"Machinery, appliances, and tools",5056852259.0
21826,2012,Sweden,Export,Norway,"Machinery, appliances, and tools",5234203710.492
30775,2012,USA,Export,Philippines,"Machinery, appliances, and tools",3893832808.0
40552,2012,Germany,Export,Netherlands,Paper and wood,3028314951.144
99086,2012,Malaysia,Export,Japan,Paper and wood,1220039082.0
21832,2012,United Kingdom,Import,USA,Chemicals and pharmaceuticals,5233473138.0
39932,2012,Italy,Export,USA,Textiles and clothing,3070059106.0
9148,2012,USA,Import,Viet Nam,Textiles and clothing,10268516092.0
79246,2012,Australia,Import,Singapore,"Machinery, appliances, and tools",1555367271.0
94441,2012,Chile,Import,Argentina,Miscellaneous food products,1287812833.688
21040,2012,Nigeria,Export,United Kingdom,"Minerals, stone, and their products",5386368036.0
47822,2012,Rep. of Korea,Export,Malaysia,"Machinery, appliances, and tools",2599715749.0
63033,2012,Belgium,Export,Italy,plastics and rubber,1977029029.391
73994,2012,India,Export,"Other Asia, nes","Minerals, stone, and their products",1672332321.0
48149,2012,India,Import,Malaysia,Animal products,2583367304.0
85245,2012,USA,Import,Egypt,"Minerals, stone, and their products",1439838180.0
8382,2012,USA,Export,Mexico,Chemicals and pharmaceuticals,10984668033.0
98010,2012,Germany,Import,Romania,Textiles and clothing,1235014866.294
63041,2012,United Kingdom,Import,Germany,Animal products,1976535036.0
56684,2012,Sweden,Export,Netherlands,"Machinery, appliances, and tools",2199966330.6540003
74795,2012,Germany,Import,Switzerland,Unspecified,1654512993.405
40561,2012,USA,Import,Indonesia,plastics and rubber,3027408475.0
22747,2012,China,Import,South Africa,Metals,5059859963.0
41231,2012,Australia,Import,Indonesia,"Minerals, stone, and their products",2983186209.0
79249,2012,Japan,Import,Spain,Chemicals and pharmaceuticals,1555329220.0
86472,2012,Mexico,Import,Canada,Metals,1417838684.0
40424,2012,USA,Export,Germany,Metals,3037501344.0
92463,2012,China,Export,Thailand,plastics and rubber,1318743844.0
22754,2012,France,Export,Italy,Vehicles and their parts,5058337225.0
40426,2012,United Kingdom,Import,Netherlands,Animal products,3037333145.0
21025,2012,"China, Hong Kong SAR",Export,Germany,"Machinery, appliances, and tools",5390429695.0
29464,2012,China,Export,Panama,Textiles and clothing,4044934802.0
98015,2012,Rep. of Korea,Import,China,Furniture and decor,1234906461.0
41253,2012,Switzerland,Import,Germany,Paper and wood,2982260812.3519998
82545,2012,China,Import,New Zealand,Paper and wood,1489793604.0
20988,2012,"China, Hong Kong SAR",Import,Switzerland,Textiles and clothing,5396475063.0
22784,2012,Germany,Export,Mexico,"Machinery, appliances, and tools",5051346800.587999
22786,2012,Germany,Export,Netherlands,plastics and rubber,5050232280.238
21805,2012,USA,Export,Panama,"Minerals, stone, and their products",5237129645.0
8523,2012,Switzerland,Import,Germany,"Minerals, stone, and their products",10858439742.686
8521,2012,Rep. of Korea,Export,China,plastics and rubber,10861287039.0
63797,2012,Netherlands,Export,Bunkers,"Minerals, stone, and their products",1952729092.932
8404,2012,Germany,Import,United Kingdom,"Machinery, appliances, and tools",10965884066.985
63798,2012,Netherlands,Import,United Kingdom,Vehicles and their parts,1952710421.287
20954,2012,Singapore,Import,Philippines,"Machinery, appliances, and tools",5404973694.615001
22787,2012,China,Import,USA,Textiles and clothing,5049461169.0
22792,2012,Japan,Export,"China, Hong Kong SAR",Unspecified,5047910004.0
9216,2012,Germany,Export,Türkiye,"Machinery, appliances, and tools",10210507250.178999
56722,2012,Poland,Export,Czechia,"Machinery, appliances, and tools",2198787603.0
40538,2012,Netherlands,Export,France,Plant products,3029580794.354
9225,2012,Japan,Export,Australia,Vehicles and their parts,10199123795.0
74839,2012,Japan,Import,Ireland,Chemicals and pharmaceuticals,1653383726.0
9228,2012,Netherlands,Export,Germany,Plant products,10198853988.022
74842,2012,Switzerland,Import,France,Vehicles and their parts,1653282609.563
62263,2012,Germany,Import,Viet Nam,Textiles and clothing,2002248870.375
9230,2012,Germany,Export,Belgium,Chemicals and pharmaceuticals,10196816040.852999
9231,2012,USA,Import,Algeria,"Minerals, stone, and their products",10196012407.0
74118,2012,Russian Federation,Export,Ukraine,Metals,1669305125.0
81065,2012,Italy,Export,Poland,Vehicles and their parts,1518558112.0
29439,2012,Italy,Export,France,"Minerals, stone, and their products",4048193900.0
30179,2012,USA,Export,Rep. of Korea,Chemicals and pharmaceuticals,3962901226.0
86702,2012,Japan,Import,Italy,Animal products,1413830447.0
47801,2012,Brazil,Import,China,Metals,2601126166.0
94452,2012,Switzerland,Export,Germany,Vehicles and their parts,1287665123.5609999
9168,2012,Canada,Export,USA,Miscellaneous food products,10248798713.0
30285,2012,Spain,Import,Germany,Chemicals and pharmaceuticals,3951324779.558
30093,2012,Singapore,Import,Japan,"Minerals, stone, and their products",3973056275.476
9169,2012,Singapore,Export,Rep. of Korea,"Machinery, appliances, and tools",10248790131.796
21649,2012,Poland,Import,Germany,Vehicles and their parts,5266618951.0
30782,2012,Chile,Import,USA,Vehicles and their parts,3892776999.194
86697,2012,Thailand,Import,Indonesia,"Machinery, appliances, and tools",1413910031.0
9174,2012,Italy,Export,USA,"Machinery, appliances, and tools",10244183032.0
30788,2012,Germany,Export,China,Chemicals and pharmaceuticals,3892525308.373
7496,2012,China,Export,Germany,Textiles and clothing,11936239051.0
8420,2012,Canada,Export,USA,Chemicals and pharmaceuticals,10953734334.0
92621,2012,Denmark,Import,Germany,Miscellaneous food products,1315902673.0
47732,2012,Thailand,Export,Netherlands,"Machinery, appliances, and tools",2604094659.0
22769,2012,Sweden,Import,Netherlands,"Machinery, appliances, and tools",5055374341.998
74126,2012,Czechia,Import,Slovakia,"Machinery, appliances, and tools",1669130069.0
98022,2012,United Arab Emirates,Import,Angola,Metals,1234791240.0
30795,2012,India,Import,Rep. of Korea,"Machinery, appliances, and tools",3891709021.0
9195,2012,Rep. of Korea,Import,Iraq,"Minerals, stone, and their products",10226963925.0
21818,2012,United Kingdom,Import,Italy,"Machinery, appliances, and tools",5235537416.0
39911,2012,Russian Federation,Import,China,Vehicles and their parts,3071850811.0
47114,2012,United Kingdom,Import,"Other Asia, nes","Machinery, appliances, and tools",2634855181.0
22782,2012,China,Export,Hungary,"Machinery, appliances, and tools",5051484390.0
86469,2012,Switzerland,Export,Australia,Chemicals and pharmaceuticals,1417884639.0230002
74129,2012,Israel,Import,Switzerland,Metals,1669110000.0
40015,2012,Malaysia,Import,"China, Hong Kong SAR","Machinery, appliances, and tools",3063934594.0
47477,2012,Poland,Export,Germany,"Minerals, stone, and their products",2618942578.0
48101,2012,"Other Asia, nes",Export,"China, Hong Kong SAR",Metals,2586226857.0
62615,2012,United Arab Emirates,Import,Ghana,Metals,1990720496.0
90255,2012,China,Export,Thailand,"Minerals, stone, and their products",1353132932.0
7941,2012,Germany,Export,France,Metals,11423285814.221
56419,2012,"China, Hong Kong SAR",Export,France,"Machinery, appliances, and tools",2210344362.0
47555,2012,"Other Asia, nes",Import,Iraq,"Minerals, stone, and their products",2614271590.0
40731,2012,United Kingdom,Import,Italy,Vehicles and their parts,3015852024.0
92546,2012,Türkiye,Export,Germany,Metals,1317418337.0
74262,2012,Azerbaijan,Export,Israel,"Minerals, stone, and their products",1666323625.0
30435,2012,USA,Import,France,Miscellaneous food products,3933921340.0
63521,2012,Germany,Export,Belgium,Miscellaneous food products,1961683372.967
21277,2012,Ireland,Export,United Kingdom,Chemicals and pharmaceuticals,5337533324.208
